"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","673b3fd26221dab5a11bb355","673b3fda6221dab5a11bcc50","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb2a9","673b3fda6221dab5a11bcc51","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb416","673b3fda6221dab5a11bcc52","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb43e","673b3fda6221dab5a11bcc53","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fda6221dab5a11bd41b","673b3fda6221dab5a11bcc53","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb275","673b3fda6221dab5a11bcc54","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb46c","673b3fda6221dab5a11bcc55","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb408","673b3fda6221dab5a11bcc56","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fde6221dab5a11bddbf","673b3fda6221dab5a11bcc56","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb469","673b3fda6221dab5a11bcc57","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fd56221dab5a11bc441","673b3fda6221dab5a11bcc57","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb390","673b3fda6221dab5a11bcc58","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fde6221dab5a11bdbbb","673b3fda6221dab5a11bcc58","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fd46221dab5a11bb89f","673b3fda6221dab5a11bcc59","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb323","673b3fda6221dab5a11bcc5a","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb441","673b3fda6221dab5a11bcc5b","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fda6221dab5a11bdb18","673b3fda6221dab5a11bcc5b","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb31a","673b3fda6221dab5a11bcc5c","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fda6221dab5a11bdac5","673b3fda6221dab5a11bcc5c","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb47f","673b3fda6221dab5a11bcc5d","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fda6221dab5a11bcf86","673b3fda6221dab5a11bcc5d","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb3e4","673b3fda6221dab5a11bcc5e","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb476","673b3fda6221dab5a11bcc5f","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb37d","673b3fda6221dab5a11bcc60","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb46e","673b3fda6221dab5a11bcc61","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fde6221dab5a11be136","673b3fda6221dab5a11bcc61","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb3a6","673b3fda6221dab5a11bcc62","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
